od_name,distance,origin,destination
Aktobe-Kazakhstan,341,Aktobe,Kazakhstan
Aktobe-Uralsk,459,Aktobe,Uralsk
Almaty-Aitekebi,2328,Almaty,Aitekebi
Almaty-Aktobe,2733,Almaty,Aktobe
Almaty-Astana,1327,Almaty,Astana
Almaty-Atbasar,1556,Almaty,Atbasar
Almaty-Esil,1703,Almaty,Esil
Almaty-Karaganda,1086,Almaty,Karaganda
Almaty-Kazakhstan,3074,Almaty,Kazakhstan
Almaty-Kushmurun,1843,Almaty,Kushmurun
Almaty-Nickeltau,2509,Almaty,Nickeltau
Almaty-Saryshagan,624,Almaty,Saryshagan
Almaty-Tobol,1991,Almaty,Tobol
Almaty-Uralsk,3192,Almaty,Uralsk
Astana-Aitekebi,1001,Astana,Aitekebi
Astana-Aktobe,1406,Astana,Aktobe
Astana-Atbasar,229,Astana,Atbasar
Astana-Esil,376,Astana,Esil
Astana-Kazakhstan,1747,Astana,Kazakhstan
Astana-Kushmurun,516,Astana,Kushmurun
Astana-Nickeltau,1182,Astana,Nickeltau
Astana-Tobol,664,Astana,Tobol
Astana-Uralsk,1865,Astana,Uralsk
Atbasar-Aitekebi,772,Atbasar,Aitekebi
Atbasar-Aktobe,1177,Atbasar,Aktobe
Atbasar-Esil,147,Atbasar,Esil
Atbasar-Kazakhstan,1518,Atbasar,Kazakhstan
Atbasar-Kushmurun,287,Atbasar,Kushmurun
Atbasar-Nickeltau,953,Atbasar,Nickeltau
Atbasar-Tobol,435,Atbasar,Tobol
Atbasar-Uralsk,1636,Atbasar,Uralsk
Esil-Aitekebi,625,Esil,Aitekebi
Esil-Aktobe,1030,Esil,Aktobe
Esil-Kazakhstan,1371,Esil,Kazakhstan
Esil-Kushmurun,140,Esil,Kushmurun
Esil-Nickeltau,806,Esil,Nickeltau
Esil-Tobol,288,Esil,Tobol
Esil-Uralsk,1489,Esil,Uralsk
Karaganda-Aitekebi,1242,Karaganda,Aitekebi
Karaganda-Aktobe,1647,Karaganda,Aktobe
Karaganda-Astana,241,Karaganda,Astana
Karaganda-Atbasar,470,Karaganda,Atbasar
Karaganda-Esil,617,Karaganda,Esil
Karaganda-Kazakhstan,1988,Karaganda,Kazakhstan
Karaganda-Kushmurun,757,Karaganda,Kushmurun
Karaganda-Nickeltau,1423,Karaganda,Nickeltau
Karaganda-Tobol,905,Karaganda,Tobol
Karaganda-Uralsk,2106,Karaganda,Uralsk
Kazakhstan-Uralsk,118,Kazakhstan,Uralsk
Kushmurun-Aitekebi,485,Kushmurun,Aitekebi
Kushmurun-Aktobe,890,Kushmurun,Aktobe
Kushmurun-Kazakhstan,1231,Kushmurun,Kazakhstan
Kushmurun-Nickeltau,666,Kushmurun,Nickeltau
Kushmurun-Tobol,148,Kushmurun,Tobol
Kushmurun-Uralsk,1349,Kushmurun,Uralsk
